NRO_BOLETO,VALOR,ORIGEN_DESTINO,FECHA_SALIDA_SERVICIO,HORA_SALIDA_SERVICIO,FECHA_COMPRA,LINEA,TIPO_ASIENTO,CANAL_VENTA,SUBCANAL_VENTA
500025,4500,tmco-pcon,20231001,0630,20230930,3,Semi Cama,Presencial,Boleteria
500026,5500,tmco-pcon,20231001,0700,20230925,1,Clas.Cort.,Internet,Boleteria
500027,4500,tmco-pcon,20231001,0700,20230930,3,Salon Cama,Internet,Sitio Web
500028,5000,tmco-pcon,20231001,0700,20230928,1,Salon Cama,Internet,App Movil
500029,5000,tmco-pcon,20231001,0700,20230928,2,Clas.Cort.,Presencial,App Movil
500030,6000,tmco-pcon,20231001,0700,20231001,1,Clas.Cort.,Presencial,Sitio Web
500031,6000,tmco-pcon,20231001,0700,20230926,2,Clas.Cort.,Presencial,Boleteria
500032,5000,tmco-pcon,20231001,0700,20230928,3,Clas.Cort.,Internet,Sitio Web
500033,5500,tmco-pcon,20231001,0700,20230919,2,Clas.Cort.,Presencial,App Movil
500034,5500,tmco-pcon,20231001,0700,20231001,3,Clas.Cort.,Internet,App Movil
500035,5500,tmco-pcon,20231001,0700,20230929,3,Semi Cama,Internet,App Movil
500036,6000,tmco-pcon,20231001,0700,20230930,3,Clas.Cort.,Presencial,Boleteria
500037,5500,tmco-pcon,20231001,0700,20231001,3,Semi Cama,Presencial,Sitio Web
500038,5000,tmco-pcon,20231001,0700,20231001,1,Clas.Cort.,Presencial,App Movil
500039,5000,tmco-pcon,20231001,0700,20230928,2,Semi Cama,Internet,Sitio Web
500040,5500,tmco-pcon,20231001,0700,20231001,3,Clas.Cort.,Presencial,Sitio Web
500041,6000,tmco-pcon,20231001,0700,20230930,3,Salon Cama,Presencial,App Movil
500042,4500,tmco-pcon,20231001,0700,20230927,3,Semi Cama,Presencial,Sitio Web
500043,6000,tmco-pcon,20231001,0700,20230925,2,Salon Cama,Presencial,Boleteria
500044,5500,tmco-pcon,20231001,0700,20230926,3,Semi Cama,Internet,Sitio Web
500045,5500,tmco-pcon,20231001,0930,20230928,1,Clas.Cort.,Internet,Sitio Web
500046,5500,tmco-pcon,20231001,0930,20230926,1,Semi Cama,Presencial,Sitio Web
500047,5500,tmco-pcon,20231001,0930,20230928,2,Semi Cama,Presencial,App Movil
500048,6000,tmco-pcon,20231001,0930,20231001,2,Clas.Cort.,Internet,Sitio Web
500049,5000,tmco-pcon,20231001,0930,20230928,2,Semi Cama,Internet,Boleteria
500050,5000,tmco-pcon,20231001,0930,20230924,3,Salon Cama,Internet,Boleteria
500051,6000,tmco-pcon,20231001,0930,20230929,1,Semi Cama,Internet,Sitio Web
500052,6000,tmco-pcon,20231001,0930,20230927,1,Semi Cama,Presencial,App Movil
500053,5000,tmco-pcon,20231001,0930,20230927,1,Clas.Cort.,Presencial,App Movil
500054,6000,tmco-pcon,20231001,0930,20231001,2,Salon Cama,Internet,Sitio Web
500055,5000,tmco-pcon,20231001,0930,20230930,2,Salon Cama,Presencial,Boleteria
500056,5000,tmco-pcon,20231001,0930,20230927,3,Clas.Cort.,Internet,Sitio Web
500057,5000,tmco-pcon,20231001,0930,20230925,2,Salon Cama,Internet,Boleteria
500058,5000,tmco-pcon,20231001,0930,20230919,1,Clas.Cort.,Internet,App Movil
500059,4500,tmco-pcon,20231001,0930,20230927,2,Semi Cama,Presencial,Sitio Web
500060,6000,tmco-pcon,20231001,0930,20230926,2,Salon Cama,Internet,Sitio Web
500061,5000,tmco-pcon,20231001,0930,20230930,3,Salon Cama,Presencial,Boleteria
500062,6000,tmco-pcon,20231001,0930,20230920,1,Clas.Cort.,Presencial,Sitio Web
500063,4500,tmco-pcon,20231001,0930,20230924,2,Clas.Cort.,Internet,App Movil
500064,4500,tmco-pcon,20231001,0930,20230928,1,Clas.Cort.,Presencial,App Movil
500065,5000,tmco-pcon,20231001,0930,20231001,2,Semi Cama,Presencial,App Movil
500066,4500,tmco-pcon,20231001,0930,20230927,2,Semi Cama,Presencial,Sitio Web
500067,5000,tmco-pcon,20231001,0930,20230921,1,Clas.Cort.,Presencial,Boleteria
500068,4500,tmco-pcon,20231001,0930,20230929,3,Clas.Cort.,Presencial,App Movil
500069,4500,tmco-pcon,20231001,0930,20230923,1,Semi Cama,Internet,Boleteria
500070,5500,tmco-pcon,20231001,0930,20230929,2,Salon Cama,Presencial,Boleteria
500071,6000,tmco-pcon,20231001,0930,20230930,2,Salon Cama,Presencial,App Movil
500072,5500,tmco-pcon,20231001,0930,20230919,3,Salon Cama,Presencial,Sitio Web
500073,5000,tmco-pcon,20231001,1300,20230926,1,Semi Cama,Internet,App Movil
500074,6000,tmco-pcon,20231001,1300,20230929,1,Clas.Cort.,Presencial,Boleteria
500075,5000,tmco-pcon,20231001,1300,20230924,1,Clas.Cort.,Presencial,Boleteria
500076,6000,tmco-pcon,20231001,1300,20230929,3,Semi Cama,Presencial,Sitio Web
500077,6000,tmco-pcon,20231001,1300,20231001,1,Semi Cama,Presencial,Boleteria
500078,6000,tmco-pcon,20231001,1300,20230926,2,Clas.Cort.,Presencial,App Movil
500079,5000,tmco-pcon,20231001,1300,20230928,1,Semi Cama,Internet,Boleteria
500080,5500,tmco-pcon,20231001,1300,20230930,3,Semi Cama,Internet,Sitio Web
500081,5500,tmco-pcon,20231001,1300,20230928,1,Clas.Cort.,Presencial,Boleteria
500082,5500,tmco-pcon,20231001,1300,20230928,3,Salon Cama,Internet,Boleteria
500083,5500,tmco-pcon,20231001,1300,20230929,1,Clas.Cort.,Internet,Boleteria
500084,6000,tmco-pcon,20231001,1300,20230926,2,Salon Cama,Presencial,App Movil
500085,4500,tmco-pcon,20231001,1300,20230928,3,Semi Cama,Presencial,App Movil
500086,4500,tmco-pcon,20231001,1300,20230926,2,Clas.Cort.,Presencial,Boleteria
500087,5500,tmco-pcon,20231001,1300,20231001,3,Semi Cama,Presencial,Boleteria
500088,6000,tmco-pcon,20231001,1300,20230929,3,Semi Cama,Presencial,Sitio Web
500089,5500,tmco-pcon,20231001,1300,20230914,3,Clas.Cort.,Presencial,Boleteria
500090,6000,tmco-pcon,20231001,1300,20231001,3,Semi Cama,Presencial,Boleteria
500091,5500,tmco-pcon,20231001,1300,20230923,3,Semi Cama,Presencial,Sitio Web
500092,4500,tmco-pcon,20231001,1300,20230912,2,Salon Cama,Presencial,App Movil
500093,6000,tmco-pcon,20231001,1300,20230929,1,Salon Cama,Presencial,Sitio Web
500094,4500,tmco-pcon,20231001,1300,20230924,1,Clas.Cort.,Presencial,Boleteria
500095,5500,tmco-pcon,20231001,1300,20230927,3,Salon Cama,Presencial,Sitio Web
500096,5000,tmco-pcon,20231001,1730,20231001,2,Salon Cama,Presencial,App Movil
500097,4500,tmco-pcon,20231001,1730,20231001,1,Salon Cama,Internet,Sitio Web
500098,5000,tmco-pcon,20231001,1730,20230919,1,Clas.Cort.,Internet,App Movil
500099,6000,tmco-pcon,20231001,1730,20231001,1,Semi Cama,Presencial,Sitio Web
500100,5500,tmco-pcon,20231001,1730,20230915,3,Semi Cama,Internet,Boleteria
500101,5000,tmco-pcon,20231001,1730,20231001,2,Salon Cama,Presencial,Boleteria
500102,6000,tmco-pcon,20231001,1730,20230926,2,Salon Cama,Presencial,App Movil
500103,6000,tmco-pcon,20231001,1730,20230923,2,Semi Cama,Presencial,Sitio Web
500104,5000,tmco-pcon,20231001,1730,20230928,2,Salon Cama,Internet,Sitio Web
500105,4500,tmco-pcon,20231001,1730,20230926,2,Salon Cama,Internet,App Movil
500106,4500,tmco-pcon,20231001,1730,20230928,1,Salon Cama,Presencial,Sitio Web
500107,5500,tmco-pcon,20231001,1730,20230927,1,Salon Cama,Internet,Sitio Web
500108,5500,tmco-pcon,20231001,1730,20231001,2,Semi Cama,Presencial,Sitio Web
500109,5000,tmco-pcon,20231001,1730,20230919,3,Semi Cama,Presencial,Sitio Web
500110,5000,tmco-pcon,20231001,1730,20230924,3,Clas.Cort.,Internet,Boleteria
500111,5500,tmco-pcon,20231001,1730,20230929,2,Salon Cama,Presencial,App Movil
500112,5500,tmco-pcon,20231001,1730,20231001,1,Salon Cama,Internet,Boleteria
500113,6000,tmco-pcon,20231001,1730,20230925,3,Semi Cama,Presencial,Boleteria
500114,6000,tmco-pcon,20231001,1730,20230928,2,Clas.Cort.,Internet,Sitio Web
500115,4500,tmco-pcon,20231001,1900,20230930,3,Semi Cama,Internet,Boleteria
500116,5500,tmco-pcon,20231001,1900,20230929,3,Semi Cama,Internet,Boleteria
500117,5000,tmco-pcon,20231001,1900,20230924,3,Clas.Cort.,Internet,Sitio Web
500118,5000,tmco-pcon,20231001,1900,20230928,1,Semi Cama,Internet,Sitio Web
500119,6000,tmco-pcon,20231001,1900,20230926,2,Clas.Cort.,Presencial,App Movil
500120,5500,tmco-pcon,20231001,1900,20230922,2,Salon Cama,Internet,App Movil
500121,6000,tmco-pcon,20231001,1900,20230930,3,Salon Cama,Presencial,Boleteria
500122,5000,tmco-pcon,20231001,1900,20230918,1,Semi Cama,Internet,Boleteria
500123,6000,tmco-pcon,20231001,1900,20230923,3,Semi Cama,Presencial,Boleteria
500124,4500,tmco-pcon,20231001,1900,20230930,3,Salon Cama,Presencial,Boleteria
500125,5000,tmco-pcon,20231001,1900,20230930,3,Semi Cama,Internet,Sitio Web
500126,5500,tmco-pcon,20231001,1900,20230909,1,Clas.Cort.,Presencial,App Movil
500127,6000,tmco-pcon,20231001,1900,20230926,3,Semi Cama,Presencial,Sitio Web
500128,5500,tmco-pcon,20231001,1900,20230922,2,Semi Cama,Presencial,Sitio Web
500129,5000,tmco-pcon,20231001,1900,20230924,1,Semi Cama,Internet,Sitio Web
500130,5000,tmco-pcon,20231001,1900,20230929,2,Salon Cama,Internet,Boleteria
500131,5700,pcon-tmco,20231001,0630,20231001,2,Clas.Cort.,Presencial,Sitio Web
500132,4200,pcon-tmco,20231001,0630,20231001,3,Semi Cama,Internet,Boleteria
500133,4700,pcon-tmco,20231001,0630,20230912,3,Clas.Cort.,Internet,Sitio Web
500134,4200,pcon-tmco,20231001,0630,20230926,2,Clas.Cort.,Internet,Boleteria
500135,5700,pcon-tmco,20231001,0630,20230930,3,Salon Cama,Internet,App Movil
500136,5200,pcon-tmco,20231001,0630,20230930,1,Salon Cama,Presencial,Boleteria
500137,4200,pcon-tmco,20231001,0630,20230928,2,Clas.Cort.,Internet,Boleteria
500138,4200,pcon-tmco,20231001,0630,20230925,2,Salon Cama,Presencial,App Movil
500139,5700,pcon-tmco,20231001,0630,20230928,1,Semi Cama,Presencial,Boleteria
500140,4200,pcon-tmco,20231001,0630,20230924,2,Salon Cama,Presencial,App Movil
500141,5200,pcon-tmco,20231001,0630,20230924,1,Clas.Cort.,Presencial,Boleteria
500142,5700,pcon-tmco,20231001,0630,20230927,3,Salon Cama,Internet,App Movil
500143,4700,pcon-tmco,20231001,0630,20230927,2,Semi Cama,Internet,Sitio Web
500144,4700,pcon-tmco,20231001,0630,20230924,2,Semi Cama,Internet,Boleteria
500145,5700,pcon-tmco,20231001,0630,20231001,2,Semi Cama,Presencial,Boleteria
500146,5700,pcon-tmco,20231001,0630,20230925,3,Salon Cama,Presencial,Boleteria
500147,4200,pcon-tmco,20231001,0630,20231001,2,Clas.Cort.,Presencial,Boleteria
500148,5700,pcon-tmco,20231001,0630,20230929,2,Clas.Cort.,Internet,Sitio Web
500149,5200,pcon-tmco,20231001,0630,20230912,2,Clas.Cort.,Internet,Boleteria
500150,5700,pcon-tmco,20231001,0630,20230928,2,Salon Cama,Presencial,App Movil
500151,5200,pcon-tmco,20231001,0630,20230924,3,Salon Cama,Presencial,Sitio Web
500152,5700,pcon-tmco,20231001,0700,20230920,1,Semi Cama,Internet,Sitio Web
500153,5700,pcon-tmco,20231001,0700,20230927,3,Salon Cama,Presencial,Boleteria
500154,4700,pcon-tmco,20231001,0700,20230925,1,Salon Cama,Internet,Sitio Web
500155,4700,pcon-tmco,20231001,0700,20230924,3,Clas.Cort.,Presencial,Boleteria
500156,5700,pcon-tmco,20231001,0700,20230924,1,Salon Cama,Presencial,Sitio Web
500157,5700,pcon-tmco,20231001,0700,20230901,2,Salon Cama,Presencial,Sitio Web
500158,4700,pcon-tmco,20231001,0700,20230929,3,Semi Cama,Internet,Sitio Web
500159,4700,pcon-tmco,20231001,0700,20230929,1,Semi Cama,Presencial,Boleteria
500160,5200,pcon-tmco,20231001,0700,20230923,2,Clas.Cort.,Presencial,App Movil
500161,5700,pcon-tmco,20231001,0700,20230923,2,Semi Cama,Presencial,App Movil
500162,5700,pcon-tmco,20231001,0700,20231001,2,Salon Cama,Presencial,Sitio Web
500163,4200,pcon-tmco,20231001,0700,20230930,2,Semi Cama,Presencial,Sitio Web
500164,4700,pcon-tmco,20231001,0700,20230921,3,Salon Cama,Presencial,App Movil
500165,5200,pcon-tmco,20231001,0700,20230930,3,Semi Cama,Internet,Boleteria
500166,4700,pcon-tmco,20231001,0700,20231001,2,Salon Cama,Presencial,Boleteria
500167,4700,pcon-tmco,20231001,0700,20230927,3,Clas.Cort.,Presencial,Sitio Web
500168,4200,pcon-tmco,20231001,0700,20230930,3,Salon Cama,Internet,Boleteria
500169,4200,pcon-tmco,20231001,0700,20230925,3,Semi Cama,Presencial,Boleteria
500170,5200,pcon-tmco,20231001,0700,20230929,2,Clas.Cort.,Internet,Sitio Web
500171,4200,pcon-tmco,20231001,0700,20230930,2,Semi Cama,Internet,Boleteria
500172,4700,pcon-tmco,20231001,0930,20230930,1,Clas.Cort.,Presencial,App Movil
500173,5200,pcon-tmco,20231001,0930,20231001,1,Salon Cama,Presencial,App Movil
500174,4700,pcon-tmco,20231001,0930,20230930,1,Semi Cama,Internet,App Movil
500175,4200,pcon-tmco,20231001,0930,20230929,1,Semi Cama,Internet,App Movil
500176,5200,pcon-tmco,20231001,0930,20230930,1,Semi Cama,Internet,Sitio Web
500177,5200,pcon-tmco,20231001,0930,20231001,1,Salon Cama,Internet,Sitio Web
500178,4200,pcon-tmco,20231001,0930,20230929,1,Salon Cama,Presencial,Sitio Web
500179,4200,pcon-tmco,20231001,0930,20230924,1,Clas.Cort.,Presencial,Sitio Web
500180,4700,pcon-tmco,20231001,0930,20230927,1,Semi Cama,Internet,Sitio Web
500181,4700,pcon-tmco,20231001,0930,20230929,2,Salon Cama,Presencial,App Movil
500182,4700,pcon-tmco,20231001,0930,20230930,1,Semi Cama,Presencial,App Movil
500183,4200,pcon-tmco,20231001,0930,20230929,2,Salon Cama,Internet,Sitio Web
500184,5200,pcon-tmco,20231001,0930,20230924,2,Salon Cama,Internet,App Movil
500185,5200,pcon-tmco,20231001,0930,20230920,2,Salon Cama,Internet,App Movil
500186,4200,pcon-tmco,20231001,0930,20230927,1,Clas.Cort.,Internet,App Movil
500187,4700,pcon-tmco,20231001,0930,20230926,2,Semi Cama,Presencial,Sitio Web
500188,4700,pcon-tmco,20231001,0930,20230924,3,Clas.Cort.,Presencial,App Movil
500189,4200,pcon-tmco,20231001,0930,20230925,2,Salon Cama,Internet,Sitio Web
500190,4200,pcon-tmco,20231001,0930,20230929,1,Semi Cama,Presencial,Sitio Web
500191,5700,pcon-tmco,20231001,0930,20231001,2,Salon Cama,Internet,App Movil
500192,5200,pcon-tmco,20231001,0930,20230924,3,Semi Cama,Presencial,Boleteria
500193,4200,pcon-tmco,20231001,0930,20231001,1,Salon Cama,Presencial,Boleteria
500194,4200,pcon-tmco,20231001,0930,20230922,1,Salon Cama,Presencial,App Movil
500195,5200,pcon-tmco,20231001,0930,20230925,3,Clas.Cort.,Internet,Boleteria
500196,4700,pcon-tmco,20231001,0930,20230930,2,Clas.Cort.,Presencial,Boleteria
500197,4700,pcon-tmco,20231001,1300,20230930,3,Semi Cama,Presencial,App Movil
500198,5200,pcon-tmco,20231001,1300,20230926,1,Clas.Cort.,Internet,Boleteria
500199,4200,pcon-tmco,20231001,1300,20231001,1,Semi Cama,Internet,App Movil
500200,5200,pcon-tmco,20231001,1300,20230927,2,Semi Cama,Internet,Sitio Web
500201,4200,pcon-tmco,20231001,1300,20230929,2,Salon Cama,Presencial,Sitio Web
500202,5200,pcon-tmco,20231001,1300,20231001,2,Clas.Cort.,Internet,Boleteria
500203,4700,pcon-tmco,20231001,1300,20230930,1,Clas.Cort.,Internet,Sitio Web
500204,5200,pcon-tmco,20231001,1300,20230929,1,Clas.Cort.,Presencial,Boleteria
500205,4200,pcon-tmco,20231001,1300,20230919,2,Salon Cama,Presencial,Sitio Web
500206,4200,pcon-tmco,20231001,1300,20230930,2,Salon Cama,Presencial,App Movil
500207,4700,pcon-tmco,20231001,1730,20230916,2,Salon Cama,Internet,Boleteria
500208,5700,pcon-tmco,20231001,1730,20230924,2,Semi Cama,Presencial,Sitio Web
500209,5200,pcon-tmco,20231001,1730,20231001,3,Clas.Cort.,Presencial,Sitio Web
500210,4200,pcon-tmco,20231001,1730,20231001,2,Semi Cama,Internet,Sitio Web
500211,4700,pcon-tmco,20231001,1730,20230916,1,Salon Cama,Internet,Boleteria
500212,5700,pcon-tmco,20231001,1730,20230922,2,Salon Cama,Internet,Sitio Web
500213,4700,pcon-tmco,20231001,1730,20230926,2,Clas.Cort.,Presencial,Boleteria
500214,5200,pcon-tmco,20231001,1730,20230922,3,Semi Cama,Presencial,App Movil
500215,4200,pcon-tmco,20231001,1730,20230930,1,Clas.Cort.,Internet,App Movil
500216,5200,pcon-tmco,20231001,1730,20230920,1,Semi Cama,Presencial,Boleteria
500217,5700,pcon-tmco,20231001,1730,20230924,1,Salon Cama,Internet,Boleteria
500218,4700,pcon-tmco,20231001,1730,20230914,2,Salon Cama,Internet,Sitio Web
500219,5200,pcon-tmco,20231001,1730,20230930,2,Semi Cama,Internet,Sitio Web
500220,4700,pcon-tmco,20231001,1730,20230927,3,Semi Cama,Internet,Boleteria
500221,4700,pcon-tmco,20231001,1730,20230928,1,Salon Cama,Internet,App Movil
500222,4200,pcon-tmco,20231001,1730,20230926,3,Salon Cama,Internet,App Movil
500223,5700,pcon-tmco,20231001,1730,20230928,3,Clas.Cort.,Internet,App Movil
500224,4200,pcon-tmco,20231001,1730,20231001,3,Salon Cama,Presencial,Boleteria
500225,4200,pcon-tmco,20231001,1730,20230928,1,Salon Cama,Presencial,Sitio Web
500226,5700,pcon-tmco,20231001,1730,20230919,3,Semi Cama,Internet,App Movil
500227,5700,pcon-tmco,20231001,1730,20231001,3,Semi Cama,Internet,App Movil
500228,4700,pcon-tmco,20231001,1730,20230927,1,Semi Cama,Internet,Sitio Web
500229,5200,pcon-tmco,20231001,1730,20230925,1,Clas.Cort.,Internet,Sitio Web
500230,4200,pcon-tmco,20231001,1730,20230918,3,Salon Cama,Internet,App Movil
500231,5200,pcon-tmco,20231001,1730,20230929,2,Clas.Cort.,Internet,Boleteria
500232,5200,pcon-tmco,20231001,1730,20230905,3,Salon Cama,Internet,Boleteria
500233,4200,pcon-tmco,20231001,1730,20230901,1,Salon Cama,Internet,App Movil
500234,4700,pcon-tmco,20231001,1730,20230926,3,Clas.Cort.,Internet,Boleteria
500235,5200,pcon-tmco,20231001,1730,20230921,1,Clas.Cort.,Internet,Boleteria
500236,4700,pcon-tmco,20231001,1730,20230930,2,Salon Cama,Presencial,Boleteria
500237,4200,pcon-tmco,20231001,1730,20230930,2,Clas.Cort.,Presencial,App Movil
500238,4200,pcon-tmco,20231001,1730,20230924,1,Semi Cama,Internet,Sitio Web
500239,4700,pcon-tmco,20231001,1730,20230911,3,Salon Cama,Internet,App Movil
500240,5700,pcon-tmco,20231001,1730,20231001,1,Semi Cama,Internet,App Movil
500241,5700,pcon-tmco,20231001,1730,20230929,2,Salon Cama,Presencial,App Movil
500242,5700,pcon-tmco,20231001,1730,20230926,3,Clas.Cort.,Presencial,Boleteria
500243,5700,pcon-tmco,20231001,1730,20230925,1,Clas.Cort.,Internet,Sitio Web
500244,4200,pcon-tmco,20231001,1900,20230928,1,Semi Cama,Internet,Sitio Web
500245,4700,pcon-tmco,20231001,1900,20230929,2,Clas.Cort.,Internet,App Movil
500246,4700,pcon-tmco,20231001,1900,20231001,1,Salon Cama,Internet,Sitio Web
500247,5700,pcon-tmco,20231001,1900,20230929,2,Salon Cama,Presencial,Sitio Web
500248,4200,pcon-tmco,20231001,1900,20230913,2,Clas.Cort.,Internet,App Movil
500249,5700,pcon-tmco,20231001,1900,20230926,2,Semi Cama,Internet,Sitio Web
500250,4700,pcon-tmco,20231001,1900,20230926,2,Semi Cama,Presencial,Sitio Web
500251,4700,pcon-tmco,20231001,1900,20230925,2,Clas.Cort.,Internet,Boleteria
500252,4700,pcon-tmco,20231001,1900,20230927,2,Semi Cama,Presencial,Boleteria
500253,4200,pcon-tmco,20231001,1900,20230924,2,Clas.Cort.,Internet,Sitio Web
500254,4700,pcon-tmco,20231001,1900,20230924,1,Clas.Cort.,Presencial,Sitio Web
500255,5200,pcon-tmco,20231001,1900,20231001,2,Salon Cama,Presencial,Boleteria
500256,4200,pcon-tmco,20231001,1900,20230927,2,Clas.Cort.,Internet,Sitio Web
500257,5700,pcon-tmco,20231001,1900,20230929,3,Salon Cama,Internet,Sitio Web
500258,4200,pcon-tmco,20231001,1900,20231001,1,Semi Cama,Internet,App Movil
500259,5700,pcon-tmco,20231001,1900,20230928,2,Clas.Cort.,Internet,App Movil
500260,5200,pcon-tmco,20231001,1900,20230928,1,Semi Cama,Presencial,App Movil
500261,4200,pcon-tmco,20231001,1900,20230921,2,Salon Cama,Presencial,Sitio Web
500262,5200,pcon-tmco,20231001,1900,20230930,1,Semi Cama,Presencial,Sitio Web
500263,5700,pcon-tmco,20231001,1900,20230930,1,Salon Cama,Presencial,Boleteria
500264,5200,pcon-tmco,20231001,1900,20231001,2,Semi Cama,Presencial,Sitio Web
500265,5200,pcon-tmco,20231001,1900,20230922,1,Salon Cama,Presencial,App Movil
500266,4200,pcon-tmco,20231001,1900,20231001,1,Clas.Cort.,Presencial,Sitio Web
500267,4200,pcon-tmco,20231001,1900,20230928,2,Clas.Cort.,Internet,App Movil
500268,5700,pcon-tmco,20231001,1900,20230927,3,Semi Cama,Presencial,App Movil
500269,5200,pcon-tmco,20231001,1900,20230915,2,Salon Cama,Internet,App Movil
500270,5200,pcon-tmco,20231001,1900,20230927,3,Salon Cama,Presencial,Boleteria
500271,5700,pcon-tmco,20231001,1900,20231001,3,Salon Cama,Internet,Boleteria
500272,5200,pcon-tmco,20231001,1900,20230926,2,Clas.Cort.,Presencial,Sitio Web
500273,5200,pcon-tmco,20231001,1900,20230930,3,Semi Cama,Internet,App Movil
500274,4000,tmco-pcon,20231002,0630,20231001,2,Clas.Cort.,Presencial,App Movil
500275,4500,tmco-pcon,20231002,0630,20231001,3,Salon Cama,Presencial,App Movil
500276,5500,tmco-pcon,20231002,0630,20230930,3,Salon Cama,Presencial,Boleteria
500277,4500,tmco-pcon,20231002,0630,20230929,1,Clas.Cort.,Presencial,Sitio Web
500278,4500,tmco-pcon,20231002,0630,20230924,2,Salon Cama,Internet,App Movil
500279,4000,tmco-pcon,20231002,0630,20231002,1,Clas.Cort.,Internet,Boleteria
500280,4000,tmco-pcon,20231002,0700,20230929,2,Salon Cama,Presencial,Boleteria
500281,4000,tmco-pcon,20231002,0700,20230918,3,Clas.Cort.,Internet,App Movil
500282,5500,tmco-pcon,20231002,0700,20231002,2,Salon Cama,Internet,App Movil
500283,4500,tmco-pcon,20231002,0700,20230916,1,Salon Cama,Internet,Boleteria
500284,4000,tmco-pcon,20231002,0700,20231002,1,Semi Cama,Presencial,Boleteria
500285,4500,tmco-pcon,20231002,0700,20230930,2,Semi Cama,Internet,Sitio Web
500286,4000,tmco-pcon,20231002,0700,20231001,1,Semi Cama,Internet,Boleteria
500287,5500,tmco-pcon,20231002,0700,20230924,3,Semi Cama,Internet,Sitio Web
500288,4000,tmco-pcon,20231002,0700,20230925,2,Salon Cama,Internet,Sitio Web
500289,4000,tmco-pcon,20231002,0700,20231002,2,Salon Cama,Presencial,App Movil
500290,4500,tmco-pcon,20231002,0700,20231002,2,Semi Cama,Internet,Sitio Web
500291,4000,tmco-pcon,20231002,0700,20231002,2,Semi Cama,Internet,Sitio Web
500292,4500,tmco-pcon,20231002,0700,20230928,3,Semi Cama,Internet,App Movil
500293,4500,tmco-pcon,20231002,0700,20230929,1,Clas.Cort.,Presencial,Sitio Web
500294,5500,tmco-pcon,20231002,0700,20230924,1,Clas.Cort.,Internet,App Movil
500295,5000,tmco-pcon,20231002,0930,20230926,2,Clas.Cort.,Internet,Boleteria
500296,4500,tmco-pcon,20231002,0930,20230925,1,Clas.Cort.,Internet,Sitio Web
500297,5000,tmco-pcon,20231002,0930,20230922,3,Clas.Cort.,Internet,App Movil
500298,4000,tmco-pcon,20231002,0930,20231002,1,Salon Cama,Presencial,Boleteria
500299,5500,tmco-pcon,20231002,0930,20230920,1,Salon Cama,Presencial,App Movil
500300,5000,tmco-pcon,20231002,0930,20231002,2,Semi Cama,Internet,App Movil
500301,5500,tmco-pcon,20231002,0930,20230923,1,Salon Cama,Presencial,Sitio Web
500302,5000,tmco-pcon,20231002,0930,20230926,2,Clas.Cort.,Internet,App Movil
500303,4500,tmco-pcon,20231002,0930,20230927,1,Semi Cama,Presencial,Boleteria
500304,5500,tmco-pcon,20231002,0930,20230928,1,Clas.Cort.,Presencial,Boleteria
500305,5000,tmco-pcon,20231002,0930,20230928,2,Clas.Cort.,Presencial,Boleteria
